Korridor 1,Korridor 2,Fahrten
Steffisburg-Korridor (z.B. Bus 41/42/43),Münsingen/Wichtrach (z.B. Bus M15),4.860875636
Münsingen/Wichtrach (z.B. Bus M15),Steffisburg-Korridor (z.B. Bus 41/42/43),4.860875636
Spiez/Einigen (z.B. Bus 1),BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),4.712665562
BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),Spiez/Einigen (z.B. Bus 1),4.712665562
Heiligenschwendi (z.B. Bus 31/32),BLS S41/S42 – Heimberg/Steffisburg,4.460890556
BLS S41/S42 – Heimberg/Steffisburg,Heiligenschwendi (z.B. Bus 31/32),4.460890556
Blumenstein/Wattenwil (z.B. Bus 50/51),Stocken/Pohlern (z.B. Bus 3),3.786400145
Stocken/Pohlern (z.B. Bus 3),Blumenstein/Wattenwil (z.B. Bus 50/51),3.786400145
BLS S1 – Freiburg/Fribourg ↔ Bern,SBB IC/EC/ICE – Bern (z.B. Zürich),3.775656029
SBB IC/EC/ICE – Bern (z.B. Zürich),BLS S1 – Freiburg/Fribourg ↔ Bern,3.775656029
Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),SBB IC/EC/ICE – Spiez Brig Interlaken,3.590003812
SBB IC/EC/ICE – Spiez Brig Interlaken,Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),3.590003812
Heiligenschwendi (z.B. Bus 31/32),HUB – Thun Bahnhof,3.051121623
HUB – Thun Bahnhof,Heiligenschwendi (z.B. Bus 31/32),3.051121623
Waldeck (z.B. Bus 4),Spiez/Einigen (z.B. Bus 1),2.543229257
Spiez/Einigen (z.B. Bus 1),Waldeck (z.B. Bus 4),2.543229257
Heiligenschwendi (z.B. Bus 31/32),Stocken/Pohlern (z.B. Bus 3),2.388195693
Stocken/Pohlern (z.B. Bus 3),Heiligenschwendi (z.B. Bus 31/32),2.388195693
Stocken/Pohlern (z.B. Bus 3),Stocken/Pohlern (z.B. Bus 3),2.274146423
Waldeck (z.B. Bus 4),BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),2.09557742
BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),Waldeck (z.B. Bus 4),2.09557742
Heiligenschwendi (z.B. Bus 31/32),Spiez/Einigen (z.B. Bus 1),2.020194058
Spiez/Einigen (z.B. Bus 1),Heiligenschwendi (z.B. Bus 31/32),2.020194058
Thunersee-Nordufer (z.B. Bus 21),Waldeck (z.B. Bus 4),1.824878788
Waldeck (z.B. Bus 4),Thunersee-Nordufer (z.B. Bus 21),1.824878788
Münsingen/Wichtrach (z.B. Bus M15),Blumenstein/Wattenwil (z.B. Bus 50/51),1.810227715
Blumenstein/Wattenwil (z.B. Bus 50/51),Münsingen/Wichtrach (z.B. Bus M15),1.810227715
Waldeck (z.B. Bus 4),Stocken/Pohlern (z.B. Bus 3),1.738171967
Stocken/Pohlern (z.B. Bus 3),Waldeck (z.B. Bus 4),1.738171967
Münsingen/Wichtrach (z.B. Bus M15),Spiez/Einigen (z.B. Bus 1),1.69212384
Spiez/Einigen (z.B. Bus 1),Münsingen/Wichtrach (z.B. Bus M15),1.69212384
BLS S44/S4 – Gürbetal/Seftigen,BLS S44/S4 – Gürbetal/Seftigen,1.23411119
